Batting Team,Balling Team,Venue,Match Date,Over number,Score after over,Wickets after over,Inning Score
CSK,RR,DY Patil,"June 01 2008,",1,6,0,163
CSK,RR,DY Patil,"June 01 2008,",2,12,0,163
CSK,RR,DY Patil,"June 01 2008,",3,16,0,163
CSK,RR,DY Patil,"June 01 2008,",4,29,0,163
CSK,RR,DY Patil,"June 01 2008,",5,39,0,163
CSK,RR,DY Patil,"June 01 2008,",6,42,1,163
CSK,RR,DY Patil,"June 01 2008,",7,51,1,163
CSK,RR,DY Patil,"June 01 2008,",8,57,1,163
CSK,RR,DY Patil,"June 01 2008,",9,64,2,163
CSK,RR,DY Patil,"June 01 2008,",10,75,2,163
CSK,RR,DY Patil,"June 01 2008,",11,77,2,163
CSK,RR,DY Patil,"June 01 2008,",12,87,2,163
CSK,RR,DY Patil,"June 01 2008,",13,97,3,163
CSK,RR,DY Patil,"June 01 2008,",14,109,3,163
CSK,RR,DY Patil,"June 01 2008,",15,117,3,163
CSK,RR,DY Patil,"June 01 2008,",16,127,3,163
CSK,RR,DY Patil,"June 01 2008,",17,130,4,163
CSK,RR,DY Patil,"June 01 2008,",18,139,4,163
CSK,RR,DY Patil,"June 01 2008,",19,148,4,163
CSK,RR,DY Patil,"June 01 2008,",20,163,5,163
RR,CSK,DY Patil,"June 01 2008,",1,2,0,164
RR,CSK,DY Patil,"June 01 2008,",2,14,0,164
RR,CSK,DY Patil,"June 01 2008,",3,19,0,164
RR,CSK,DY Patil,"June 01 2008,",4,27,1,164
RR,CSK,DY Patil,"June 01 2008,",5,36,1,164
RR,CSK,DY Patil,"June 01 2008,",6,41,1,164
RR,CSK,DY Patil,"June 01 2008,",7,44,3,164
RR,CSK,DY Patil,"June 01 2008,",8,51,3,164
RR,CSK,DY Patil,"June 01 2008,",9,61,3,164
RR,CSK,DY Patil,"June 01 2008,",10,75,3,164
RR,CSK,DY Patil,"June 01 2008,",11,80,3,164
RR,CSK,DY Patil,"June 01 2008,",12,87,3,164
RR,CSK,DY Patil,"June 01 2008,",13,102,3,164
RR,CSK,DY Patil,"June 01 2008,",14,107,3,164
RR,CSK,DY Patil,"June 01 2008,",15,112,4,164
RR,CSK,DY Patil,"June 01 2008,",16,125,4,164
RR,CSK,DY Patil,"June 01 2008,",17,139,5,164
RR,CSK,DY Patil,"June 01 2008,",18,146,7,164
RR,CSK,DY Patil,"June 01 2008,",19,156,7,164
RR,CSK,DY Patil,"June 01 2008,",20,164,7,164
Kings XI,CSK,Wankhede,"May 31 2008,",1,7,0,112
Kings XI,CSK,Wankhede,"May 31 2008,",2,11,1,112
Kings XI,CSK,Wankhede,"May 31 2008,",3,16,2,112
Kings XI,CSK,Wankhede,"May 31 2008,",4,28,2,112
Kings XI,CSK,Wankhede,"May 31 2008,",5,30,3,112
Kings XI,CSK,Wankhede,"May 31 2008,",6,35,4,112
Kings XI,CSK,Wankhede,"May 31 2008,",7,35,4,112
Kings XI,CSK,Wankhede,"May 31 2008,",8,37,4,112
