Batting Team,Balling Team,venue,Match Date,Match Time,Over number,score after over,wickets after over,Inning score,Inning Wickets
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,19,159,9,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,18,139,8,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,17,119,8,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,16,115,7,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,15,106,7,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,14,97,6,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,13,84,6,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,12,75,5,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,11,67,4,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,10,56,4,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,9,51,4,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,8,49,3,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,7,44,3,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,6,42,2,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,5,39,1,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,4,31,1,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,3,19,0,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,2,16,0,169,9
CSK,MI,Wankhede Stadium,4/7/2018,14:30:00,1,7,0,169,9
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,20,165,4,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,19,160,4,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,18,143,4,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,17,140,4,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,16,121,4,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,15,117,4,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,14,112,3,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,13,101,3,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,12,97,2,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,11,83,2,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,10,65,2,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,9,62,2,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,8,52,2,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,7,43,2,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,6,39,2,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,5,26,2,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,4,22,2,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,3,12,1,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,2,7,0,165,4
MI,CSK,Wankhede Stadium,4/7/2018,14:30:00,1,5,0,165,4
